id,TotalCycle_h,Weight_T,SoakingTime_h,TargetTemp_C,EnergyConsumption_m3
5953,7.3036,9.781,5,650,323.98
5952,8.5331,5.349,3,930,443.39
5951,8.6439,7.312,7,590,266.34
5950,12.1206,7.318,7,930,631.11
5949,5.4464,3.64,4,550,184.66
5948,9.1522,3.536,4,900,518.17
5947,4.9406,6.054,3,620,221.99
5946,7.2589,9.79,5,650,344.42
5945,4.7158,5.041,3,620,169.49
5944,7.1981,5.041,3,930,362.87
5943,7.2992,6.054,3,930,395.81
5942,4.6792,6.739,3,620,173.32
5941,7.4842,6.739,3,930,415.6
5940,5.7878,6.342,4,620,209.83
5939,10.3625,9.484,5,900,547.64
5938,8.2442,6.342,4,930,450.09
5937,9.8928,6.323,5,930,548.28
5936,5.3050,6.173,3.5,620,212.88
5935,9.4819,7.756,5,900,473.3
5934,8.1661,6.175,3.5,930,487.83
5933,5.4553,8.372,3,620,225.5
5932,7.6019,6.896,3,950,465.55
5931,16.2808,8.372,3,930,705.06
5930,4.7181,6.5,3,620,183.61
5929,7.2628,6.5,3,930,410.02
5928,7.5911,6.896,3,950,480.61
5927,7.9411,6.896,3,950,501.61
5926,7.5075,6.812,5,710,368.09
5925,9.7647,9.386,5,900,568.67
5924,7.6711,6.877,3,950,492.48
5923,6.9308,9.618,5,650,326.09
5922,4.8906,6.617,3,610,185.43
5921,7.8189,6.617,3,930,442.39
5920,9.7300,9.484,5,900,568.58
5919,5.1436,6.223,3,690,259.98
5918,3.5692,6.105,2,590,158.54
5917,4.9206,7.34,3,620,222.75
5916,7.2228,9.682,5,650,317.58
5915,9.2339,9.216,5,900,522.27
5914,7.3203,6.251,3,930,438
5913,4.6811,6.116,3,620,200.15
5912,7.3983,6.116,3,930,463.62
5911,7.1086,9.904,5,650,322.53
5910,4.7250,7.062,3,620,195.74
5909,7.4006,7.062,3,930,448.34
5908,4.7786,4.608,3,620,160.02
5907,6.8764,4.608,3,930,376.46
5906,4.7236,4.054,3,620,155.04
5905,7.0733,4.054,3,930,369.36
5904,4.7800,6.739,3,620,191.41
5903,7.3136,6.739,3,930,442.2
5902,6.6950,3.305,5,590,169.6
5901,9.0125,4.601,5,900,455.12
5900,9.5803,9.485,5,900,568.01
5899,4.7189,6.739,3,620,186.73
5898,7.1264,6.739,3,930,425.71
5897,4.8058,5.797,3,620,194.39
5896,7.1175,5.797,3,930,426.24
5895,4.7739,5.008,3,620,164.65
5894,13.4558,7.93,4.5,930,691.8
5893,4.9664,8.383,3,620,232.3
5892,11.0794,9.386,5,900,558.21
5891,8.2333,7.604,3,930,517.42
5890,4.7172,6.48,3,620,183.66
5889,7.2536,6.48,3,930,430.45
5888,7.6689,9.484,5,650,347.01
5887,0.0922,9.484,5,650,NULL
5886,4.7389,5.89,3,620,181.11
5885,7.0494,5.89,3,930,407.42
5884,4.8639,5.248,3,620,167.92
5883,6.8892,5.248,3,930,376.55
5882,4.7275,6.054,3,620,161.6
5881,7.7811,6.054,3,930,413.91
5880,5.1564,6.739,3,620,198.92
5879,8.3408,6.739,3,930,463.14
5878,9.1308,9.484,5,650,340.51
5877,5.0511,6.739,3,620,187.07
5876,8.3367,6.739,3,930,459.07
5875,4.9061,8.039,3,620,190.79
5874,8.3164,7.505,3,930,456.31
5873,5.3861,5.606,3,620,188.63
5872,8.0017,5.606,3,930,438.76
5871,4.7636,5.419,3,620,170.59
5870,7.8500,5.419,3,930,431.55
5869,4.7467,6.124,3,620,168.44
5868,7.6636,6.124,3,930,411.99
5867,4.7006,5.248,3,620,151.21
5866,7.5394,5.248,3,930,616.59
5865,4.8619,6.502,3,620,441.73
5864,7.1822,9.287,5,650,294.14
5863,3.3978,6.015,2,590,150.69
5862,7.5981,6.502,3,930,416.87
5861,3.2036,4.339,2,590,76.84
5860,1.1139,4.339,2,590,82.98
5859,8.1889,6.827,3,950,447.58
5858,7.2406,8.989,5,650,217.87
5857,4.9350,7.173,3,620,455.53
5856,8.2183,7.173,3,930,475
5855,5.4036,4.398,4,550,154
5854,8.9061,5.684,4,900,485
5853,10.0706,9.6,5,930,515
5852,7.0128,9.484,5,650,285
5851,9.9147,6.126,5,930,568
5850,4.7936,7.922,3,620,186.4
5849,8.2508,7.922,3,930,454.29
5848,4.9472,7.029,3,620,179.27
5847,8.1150,7.029,3,930,453.26
5846,4.8150,7.414,3,620,194.72
5845,9.0897,7.414,3,930,545.39
5844,5.0650,7.494,3,620,215
5843,8.9575,7.494,3,930,487.77
5842,4.9983,7.583,3,620,178.73
5841,5.9044,33.444,3,930,302.11
5840,2.0461,7.583,3,930,158.49
5839,4.9714,7.558,3,620,185.81
5838,8.5558,7.558,3,930,486.28
5837,7.3836,9.628,5,650,313.27
5836,4.7461,6.402,3,620,175.83
5835,7.9544,6.402,3,930,417.48
5834,7.3122,5.248,3,930,403.63
5833,5.3617,55.555,4,550,219.71
5832,NULL,4.992,4,550,93.06
5831,9.3333,4.992,4,900,518.7
5830,4.9517,6.739,3,620,211.44
5829,5.7992,6.582,3,620,1.07
5828,7.9903,6.739,3,930,429.94
5827,8.3811,6.549,3,930,481.36
5826,6.9656,6.4,5,590,228.2
5825,10.1419,6.4,5,900,538.15
5824,5.2089,6.444,3,620,178.68
5823,7.9597,6.444,3,930,428.99
5822,4.6389,5.913,3,620,159.32
5821,7.6350,5.913,3,930,412.16
5820,5.0700,4.447,3,620,168.07
5819,8.2164,6.904,3,930,488.48
5818,7.5328,7.996,5,650,317.65
5817,4.9253,4.964,3,620,184.65
5816,8.1625,8.214,3,930,465.86
5815,7.3964,5.248,3,930,394.19
5814,4.7956,6.073,3,620,170.03
5813,7.4342,6.073,3,930,411.78
5812,4.7461,6.65,3,620,175.19
5811,7.7606,6.65,3,930,421.87
5810,7.3319,5.248,3,930,399.2
5809,5.3419,4.992,4,550,156.83
5808,8.9406,4.992,4,900,491.76
5807,4.7533,6.739,3,620,178.51
5806,4.2469,5,3,930,195.18
5805,11.4128,6.739,3,930,84.92
5804,5.4208,4.992,4,550,156.37
5803,8.8875,4.992,4,900,490.82
5802,4.9456,7.188,3,620,213.77
5801,5.9022,7.689,3.5,620,201.05
5800,7.6219,7.188,3,930,411.37
5799,8.8019,7.689,3.5,930,473.35
5798,5.2464,6.55,3,620,199.51
5797,8.1264,6.65,3,930,455.08
5796,8.0317,9.144,3,930,444.91
5795,7.3003,10.102,5,650,313.3
5794,4.8606,6.337,3,620,188.6
5793,8.5242,6.337,3,930,462.5
5792,4.6650,4.458,3,620,143.56
5791,7.0606,4.458,3,930,360.93
5790,4.8086,5.467,3,620,173.63
5789,7.8172,5.467,3,930,427.31
5788,6.8369,5.795,5,620,248.74
